hotel,city,nation,reviewer,vote
Kroussia,Thessaloniki,Greece,Franzf227,7.0
Aurora Studios,Nikiana,Greece,StamM22,4.0
Aurora Studios,Nikiana,Greece, barb0unia1,8.0
Aurora Studios,Nikiana,Greece,Jules \u0026 Polly,6.0
Fatiras Studios,Kassiopi,Greece,cambridgenik,8.0
Fatiras Studios,Kassiopi,Greece, Jason,10.0
Fatiras Studios,Kassiopi,Greece, Adrian R,10.0
Fatiras Studios,Kassiopi,Greece, Jennifer C,10.0
Fatiras Studios,Kassiopi,Greece, reapossum,10.0
Fatiras Studios,Kassiopi,Greece,Barry B,6.0
Hotel Assini Beach Tolo,Tolon,Greece,Steve T,10.0
Hotel Assini Beach Tolo,Tolon,Greece, JENf452000,10.0
Hotel Assini Beach Tolo,Tolon,Greece, tzd60820,6.0
Hotel Assini Beach Tolo,Tolon,Greece, Babis T,2.0
Hotel Assini Beach Tolo,Tolon,Greece, Michelle J,10.0
Hotel Assini Beach Tolo,Tolon,Greece,Jules \u0026 Polly,1.0
Hotel Lyktos,Crete,Greece,Larseriko,10.0
Hotel Lyktos,Crete,Greece, bthomson2018,10.0
Hotel Lyktos,Crete,Greece, Matthieu A,10.0
Hotel Lyktos,Crete,Greece, John E,10.0
Hotel Lyktos,Crete,Greece, pmi222,10.0
Hotel Lyktos,Crete,Greece,Eva S,3.0
Argo Studios,Myrties,Greece,debbieuk52002,10.0
Argo Studios,Myrties,Greece, augu2017,10.0
Argo Studios,Myrties,Greece,Caro,1.0
Iris Boutique Hotel,Kamari,Greece,Paris,10.0
Iris Boutique Hotel,Kamari,Greece, Marina N.,10.0
Iris Boutique Hotel,Kamari,Greece, Camper682923,4.0
Iris Boutique Hotel,Kamari,Greece, Natasa B,10.0
Iris Boutique Hotel,Kamari,Greece, Nicolai P,10.0
Iris Boutique Hotel,Kamari,Greece,rebecca_comtacto,0.0
Metaxa Apartments,Kavos,Greece,Porwal_nitish,8.0
Metaxa Apartments,Kavos,Greece, Alexandra,8.0
Metaxa Apartments,Kavos,Greece, Felix B,4.0
Metaxa Apartments,Kavos,Greece, Anne M,10.0
Metaxa Apartments,Kavos,Greece, Sakari L,6.0
Metaxa Apartments,Kavos,Greece,Jules \u0026 Polly,1.0
Ostria Rooms,Crete,Greece,LJLtraveller,10.0
Ostria Rooms,Crete,Greece, Jr. L,10.0
Ostria Rooms,Crete,Greece, Leen102,10.0
Ostria Rooms,Crete,Greece, Trigstravels,10.0
Ostria Rooms,Crete,Greece, papadi,10.0
Ostria Rooms,Crete,Greece,jojouk1983,2.0
Backpacker's Refuge,Thessaloniki,Greece,lucidlama,8.0
Backpacker's Refuge,Thessaloniki,Greece, bigsmile30,10.0
Backpacker's Refuge,Thessaloniki,Greece, sahara_stroller,10.0
Backpacker's Refuge,Thessaloniki,Greece,Franzf227,2.0
Aeolos Rooms,Livadi,Greece,Graeme and Suza... B,10.0
Aeolos Rooms,Livadi,Greece, Myrina,4.0
Aeolos Rooms,Livadi,Greece, Christina K,10.0
Aeolos Rooms,Livadi,Greece, MaggieAu,8.0
Aeolos Rooms,Livadi,Greece, MaggieAu,10.0
Aeolos Rooms,Livadi,Greece,Joanna,7.0
Hotel Matina,Kamari,Greece,clare1608,10.0
Hotel Matina,Kamari,Greece, Edmund Poh,10.0
Hotel Matina,Kamari,Greece, MARIA M,10.0
Hotel Matina,Kamari,Greece, steve p,10.0
Hotel Matina,Kamari,Greece, Hodok17,8.0
Hotel Matina,Kamari,Greece,Antonis C,2.0
ELEKTRA HOTEL & SPA,Kalamata,Greece,Annette L,10.0
ELEKTRA HOTEL & SPA,Kalamata,Greece, jimadvisor,8.0
ELEKTRA HOTEL & SPA,Kalamata,Greece, Peter Ruesink,6.0
ELEKTRA HOTEL & SPA,Kalamata,Greece, maryvasilopoulos,10.0
ELEKTRA HOTEL & SPA,Kalamata,Greece, Dominus73,8.0
ELEKTRA HOTEL & SPA,Kalamata,Greece,Lyndz14,1.0
Neraida Studios,Tsilivi,Greece,Lee P,10.0
Neraida Studios,Tsilivi,Greece, njb729,10.0
Neraida Studios,Tsilivi,Greece, dw1971,10.0
Neraida Studios,Tsilivi,Greece, MagsKShotts,10.0
Neraida Studios,Tsilivi,Greece, Valeites,10.0
Neraida Studios,Tsilivi,Greece,Freedom296424,7.0
Amaryllis Hotel,Perissa,Greece,NMT86,6.0
Amaryllis Hotel,Perissa,Greece, daniel-filea,8.0
Amaryllis Hotel,Perissa,Greece, Lauren S,10.0
Amaryllis Hotel,Perissa,Greece, Thira,10.0
Amaryllis Hotel,Perissa,Greece, outdoorluvr,8.0
Amaryllis Hotel,Perissa,Greece,jojouk1983,5.0
Likio Studios,Batsi,Greece,Philip H,10.0
Likio Studios,Batsi,Greece, Tim L,10.0
Likio Studios,Batsi,Greece, melissaunderwood,10.0
