hotel,city,nation,reviewer,vote
Moxy Berlin Ostbahnhof,76-78,Deutschland, SandraSt,6.0
Moxy Berlin Ostbahnhof,76-78,Deutschland,Lior P,6.0
Moxy Berlin Ostbahnhof,76-78,Deutschland,ollith,3.0
Moxy Berlin Ostbahnhof,76-78,Deutschland,NAW_Newbury,8.0
Sheraton Carlton Hotel Nürnberg,Nürnberg,Deutschland,Weltreisender67,10.0
Sheraton Carlton Hotel Nürnberg,Nürnberg,Deutschland, farang24,10.0
Sheraton Carlton Hotel Nürnberg,Nürnberg,Deutschland, marthie_86,4.0
Sheraton Carlton Hotel Nürnberg,Nürnberg,Deutschland, d_r_k68,10.0
Sheraton Carlton Hotel Nürnberg,Nürnberg,Deutschland, Sybille W,6.0
Sheraton Carlton Hotel Nürnberg,Nürnberg,Deutschland,Andrea B,7.0
Sheraton Carlton Hotel Nürnberg,Nürnberg,Deutschland,Explore763945,6.0
Sheraton Carlton Hotel Nürnberg,Nürnberg,Deutschland,nederlandsegulden,7.0
Sofitel Munich Bayerpost,München,Deutschland,redlightonsinger,10.0
Sofitel Munich Bayerpost,München,Deutschland, Maryna707,10.0
Sofitel Munich Bayerpost,München,Deutschland, G6447YYinfo,10.0
Sofitel Munich Bayerpost,München,Deutschland, Daniel Slusarcik Photography,6.0
Sofitel Munich Bayerpost,München,Deutschland, Julie S,10.0
Sofitel Munich Bayerpost,München,Deutschland,Lior P,1.0
Sofitel Munich Bayerpost,München,Deutschland,M. Fehling,6.0
Sofitel Munich Bayerpost,München,Deutschland,NAW_Newbury,9.0
Aparthotel Rialto & Haus Esplanade, Rügen,Deutschland,Annie A,6.0
Aparthotel Rialto & Haus Esplanade, Rügen,Deutschland, highwaytriker,10.0
Aparthotel Rialto & Haus Esplanade, Rügen,Deutschland, San I,8.0
Aparthotel Rialto & Haus Esplanade, Rügen,Deutschland, eisenach45,10.0
Aparthotel Rialto & Haus Esplanade, Rügen,Deutschland, eisenach45,10.0
Aparthotel Rialto & Haus Esplanade, Rügen,Deutschland,NAW_Newbury,6.0
Aparthotel Rialto & Haus Esplanade, Rügen,Deutschland,jkerber2018,7.0
Aparthotel Rialto & Haus Esplanade, Rügen,Deutschland,Jader G,9.0
Pension Olé,Dresden,Deutschland,JoMue,8.0
Pension Olé,Dresden,Deutschland, Meisje Barbara H,8.0
Pension Olé,Dresden,Deutschland, Klaus B,10.0
Pension Olé,Dresden,Deutschland,BBoehme44,8.0
Pension Olé,Dresden,Deutschland,Prof. SH,3.0
Pension Olé,Dresden,Deutschland,Kristine G,2.0
Leonardo Hotel Berlin,Str.,Deutschland,Bernhard N,8.0
Leonardo Hotel Berlin,Str.,Deutschland, Dieter_2503,10.0
Leonardo Hotel Berlin,Str.,Deutschland, haraldkoerber,6.0
Leonardo Hotel Berlin,Str.,Deutschland, nonameL7489WV,10.0
Leonardo Hotel Berlin,Str.,Deutschland, Dieter2312,10.0
Leonardo Hotel Berlin,Str.,Deutschland,Anneliese M,8.0
Leonardo Hotel Berlin,Str.,Deutschland,Anneliese M,8.0
Leonardo Hotel Berlin,Str.,Deutschland,Omatilla,2.0
Am Lindenhof, Hannover,Deutschland,Jörg M,2.0
Am Lindenhof, Hannover,Deutschland, galeriehan,2.0
Am Lindenhof, Hannover,Deutschland, Stefan T,6.0
Am Lindenhof, Hannover,Deutschland, zanderaal,2.0
Am Lindenhof, Hannover,Deutschland, m_f_sei,2.0
Am Lindenhof, Hannover,Deutschland,Kristine G,5.0
Am Lindenhof, Hannover,Deutschland,Andrea B,5.0
Am Lindenhof, Hannover,Deutschland,Andrea B,3.0
Hotel Am Jakobsmarkt,Nürnberg,Deutschland,Ralf R,8.0
Hotel Am Jakobsmarkt,Nürnberg,Deutschland, kghbBadKissingen,6.0
Hotel Am Jakobsmarkt,Nürnberg,Deutschland, WilhelmLudwig,10.0
Hotel Am Jakobsmarkt,Nürnberg,Deutschland, EllK19,6.0
Hotel Am Jakobsmarkt,Nürnberg,Deutschland, Nurdie F,2.0
Hotel Am Jakobsmarkt,Nürnberg,Deutschland,Anneliese M,0.0
Hotel Am Jakobsmarkt,Nürnberg,Deutschland,Omatilla,3.0
Hotel Am Jakobsmarkt,Nürnberg,Deutschland,Kristine G,6.0
Augusta Hotel,22,Deutschland,Petra O,8.0
Augusta Hotel,22,Deutschland, Auguste R,10.0
Augusta Hotel,22,Deutschland, 520berlin,10.0
Augusta Hotel,22,Deutschland, Schneefi,10.0
Augusta Hotel,22,Deutschland, Jules V,8.0
Augusta Hotel,22,Deutschland,Lior P,3.0
Augusta Hotel,22,Deutschland,ollith,3.0
Augusta Hotel,22,Deutschland,jmb,1.0
NH Berlin Kurfürstendamm,41-43,Deutschland,Peter48Gera,10.0
NH Berlin Kurfürstendamm,41-43,Deutschland, heidiewies,6.0
NH Berlin Kurfürstendamm,41-43,Deutschland, McHalow,10.0
NH Berlin Kurfürstendamm,41-43,Deutschland, jensauge,10.0
NH Berlin Kurfürstendamm,41-43,Deutschland, RUWADI- Rudi Walz-Dittwar,10.0
NH Berlin Kurfürstendamm,41-43,Deutschland,Omatilla,6.0
NH Berlin Kurfürstendamm,41-43,Deutschland,M. Fehling,4.0
NH Berlin Kurfürstendamm,41-43,Deutschland,Prof. SH,5.0
Haus Edelweiss, Oberstdorf,Deutschland,Manuela H,8.0
Haus Edelweiss, Oberstdorf,Deutschland, Schnuggi Wangen,8.0
Haus Edelweiss, Oberstdorf,Deutschland, Birgit U T,10.0
Haus Edelweiss, Oberstdorf,Deutschland, Sdech,10.0
Haus Edelweiss, Oberstdorf,Deutschland, ruski01,10.0
Haus Edelweiss, Oberstdorf,Deutschland,jmb,3.0
Haus Edelweiss, Oberstdorf,Deutschland,NAW_Newbury,0.0
Haus Edelweiss, Oberstdorf,Deutschland,Prof. SH,2.0
Hotel Karolinger,Düsseldorf,Deutschland,LaOsa_life,6.0
Hotel Karolinger,Düsseldorf,Deutschland, Frank S,2.0
Hotel Karolinger,Düsseldorf,Deutschland, cavinrocks,8.0
Hotel Karolinger,Düsseldorf,Deutschland, silfi2016,6.0
Hotel Karolinger,Düsseldorf,Deutschland, Waltzer H,8.0
Hotel Karolinger,Düsseldorf,Deutschland,jkerber2018,0.0
Hotel Karolinger,Düsseldorf,Deutschland,Jader G,7.0
Hotel Karolinger,Düsseldorf,Deutschland,Omatilla,6.0
Dorint Hotel Frankfurt-Niederrad,Frankfurt,Deutschland,renate990,10.0
Dorint Hotel Frankfurt-Niederrad,Frankfurt,Deutschland, AnnMay,8.0
Dorint Hotel Frankfurt-Niederrad,Frankfurt,Deutschland, Kirsten S,10.0
Dorint Hotel Frankfurt-Niederrad,Frankfurt,Deutschland, greckoe7,2.0
Dorint Hotel Frankfurt-Niederrad,Frankfurt,Deutschland, Martin D,8.0
Dorint Hotel Frankfurt-Niederrad,Frankfurt,Deutschland,Anneliese M,8.0
Dorint Hotel Frankfurt-Niederrad,Frankfurt,Deutschland,Lior P,4.0
Dorint Hotel Frankfurt-Niederrad,Frankfurt,Deutschland,Kati_reist,6.0
Hotel Garni Nürnberger Trichter,Nürnberg,Deutschland,Weil ich es kann,10.0
Hotel Garni Nürnberger Trichter,Nürnberg,Deutschland, Cor B,10.0
Hotel Garni Nürnberger Trichter,Nürnberg,Deutschland, Sandra B,8.0
Hotel Garni Nürnberger Trichter,Nürnberg,Deutschland, Don_Alex1,8.0
Hotel Garni Nürnberger Trichter,Nürnberg,Deutschland, Max M.vienna,8.0
Hotel Garni Nürnberger Trichter,Nürnberg,Deutschland,Kati_reist,4.0
Hotel Garni Nürnberger Trichter,Nürnberg,Deutschland,NAW_Newbury,7.0
Hotel Garni Nürnberger Trichter,Nürnberg,Deutschland,jmb,1.0
Mövenpick Hotel Berlin,Strasse,Deutschland,Thoxin,8.0
Mövenpick Hotel Berlin,Strasse,Deutschland, 208steste,10.0
Mövenpick Hotel Berlin,Strasse,Deutschland, Ann-Katrin V,2.0
Mövenpick Hotel Berlin,Strasse,Deutschland, Monika Flexeder,10.0
Mövenpick Hotel Berlin,Strasse,Deutschland, Antonello,2.0
Mövenpick Hotel Berlin,Strasse,Deutschland,eithne e,9.0
Mövenpick Hotel Berlin,Strasse,Deutschland,Verča,1.0
Mövenpick Hotel Berlin,Strasse,Deutschland,Verča,5.0
Motel One Berlin-Ku'damm,10,Deutschland,True Art,10.0
Motel One Berlin-Ku'damm,10,Deutschland, Maik W,10.0
Motel One Berlin-Ku'damm,10,Deutschland, Martin J,10.0
Motel One Berlin-Ku'damm,10,Deutschland, theotron,8.0
Motel One Berlin-Ku'damm,10,Deutschland, Orthopaedic Surgeon,8.0
Motel One Berlin-Ku'damm,10,Deutschland,Lior P,8.0
Motel One Berlin-Ku'damm,10,Deutschland,Verča,9.0
Motel One Berlin-Ku'damm,10,Deutschland,Omatilla,2.0
Centro Hotel Royal,Köln,Deutschland,Sascha K,2.0
Centro Hotel Royal,Köln,Deutschland, Peter G,8.0
Centro Hotel Royal,Köln,Deutschland, svenja,6.0
Centro Hotel Royal,Köln,Deutschland, yannickmayer,8.0
Centro Hotel Royal,Köln,Deutschland, Sybille K,4.0
Centro Hotel Royal,Köln,Deutschland,Verča,2.0
Centro Hotel Royal,Köln,Deutschland,Jader G,9.0
Centro Hotel Royal,Köln,Deutschland,Thomas Miller,7.0
Gästehaus Am Weberplatz,Dresden,Deutschland,Musiicfr3ak,6.0
Gästehaus Am Weberplatz,Dresden,Deutschland, 604Hubertus,8.0
Gästehaus Am Weberplatz,Dresden,Deutschland, Thomas S,10.0
Gästehaus Am Weberplatz,Dresden,Deutschland, Bergwind,8.0
Gästehaus Am Weberplatz,Dresden,Deutschland, Der_Bahnreisende,8.0
Gästehaus Am Weberplatz,Dresden,Deutschland,ollith,9.0
Gästehaus Am Weberplatz,Dresden,Deutschland,eithne e,0.0
Gästehaus Am Weberplatz,Dresden,Deutschland,Jader G,0.0
Hotel Royal,Frankfurt,Deutschland,Klaus333,8.0
Hotel Royal,Frankfurt,Deutschland, FrankP,10.0
Hotel Royal,Frankfurt,Deutschland, Martin S,8.0
Hotel Royal,Frankfurt,Deutschland, KiiWii L,2.0
Hotel Royal,Frankfurt,Deutschland, Jules B,2.0
Hotel Royal,Frankfurt,Deutschland,Explore763945,5.0
Hotel Royal,Frankfurt,Deutschland,M. Fehling,4.0
Hotel Royal,Frankfurt,Deutschland,nederlandsegulden,8.0
Pension Sonnenblick, Winterberg,Deutschland,111marjolein,10.0
Pension Sonnenblick, Winterberg,Deutschland, elly222,10.0
Pension Sonnenblick, Winterberg,Deutschland,Explore763945,3.0
Pension Sonnenblick, Winterberg,Deutschland,Explore763945,0.0
Pension Sonnenblick, Winterberg,Deutschland,Thomas Miller,2.0
Arena Hostel Hamburg,20,Deutschland,dan,10.0
Arena Hostel Hamburg,20,Deutschland, Yannick,10.0
Arena Hostel Hamburg,20,Deutschland, kris1089,8.0
Arena Hostel Hamburg,20,Deutschland, Mizgîn Z,10.0
Arena Hostel Hamburg,20,Deutschland, Michael S,8.0
Arena Hostel Hamburg,20,Deutschland,Explore763945,9.0
Arena Hostel Hamburg,20,Deutschland,Explore763945,1.0
Arena Hostel Hamburg,20,Deutschland,M. Fehling,6.0
Motel Domino,Nürnberg,Deutschland,Michaela P,8.0
Motel Domino,Nürnberg,Deutschland, htill77,2.0
