web-scraper-order,web-scraper-start-url,start_page_link,start_page_link-href,city_selector,city_selector-href,page_city_selector,page_city_selector-href,hotelLinkHrefName,hotelLinkHref
"1577491708-24297","https://www.tripadvisor.ca/Hotels-g153339-oa20-Canada-Hotels.html#LEAF_GEO_LIST","4","https://www.tripadvisor.ca/Hotels-g153339-oa60-Canada-Hotels.html#LEAF_GEO_LIST","#71Valemount Hotels(58)","https://www.tripadvisor.ca/Hotels-g181768-Valemount_British_Columbia-Hotels.html","2","https://www.tripadvisor.ca/Hotels-g181768-oa30-Valemount_British_Columbia-Hotels.html#BODYCON","Rose Cottage Bed & Breakfast","https://www.tripadvisor.ca/Hotel_Review-g181768-d2619652-Reviews-Rose_Cottage_Bed_Breakfast-Valemount_British_Columbia.html"
"1577491506-23919","https://www.tripadvisor.ca/Hotels-g153339-oa20-Canada-Hotels.html#LEAF_GEO_LIST","5","https://www.tripadvisor.ca/Hotels-g153339-oa80-Canada-Hotels.html#LEAF_GEO_LIST","#85Oliver Hotels(40)","https://www.tripadvisor.ca/Hotels-g635702-Oliver_Okanagan_Valley_British_Columbia-Hotels.html","2","https://www.tripadvisor.ca/Hotels-g635702-oa30-Oliver_Okanagan_Valley_British_Columbia-Hotels.html#BODYCON","Above the Orchard B&B","https://www.tripadvisor.ca/Hotel_Review-g635702-d2242631-Reviews-Above_the_Orchard_B_B-Oliver_Okanagan_Valley_British_Columbia.html"
"1577491913-24786","https://www.tripadvisor.ca/Hotels-g153339-oa20-Canada-Hotels.html#LEAF_GEO_LIST","3","https://www.tripadvisor.ca/Hotels-g153339-oa40-Canada-Hotels.html#LEAF_GEO_LIST","#55Saguenay Hotels(59)","https://www.tripadvisor.ca/Hotels-g1144652-Saguenay_Saguenay_Lac_Saint_Jean_Region_Quebec-Hotels.html","2","https://www.tripadvisor.ca/Hotels-g1144652-oa30-Saguenay_Saguenay_Lac_Saint_Jean_Region_Quebec-Hotels.html#BODYCON","Auberge La Maison Jasmine","https://www.tripadvisor.ca/Hotel_Review-g155026-d18340476-Reviews-Auberge_La_Maison_Jasmine-Chicoutimi_Saguenay_Saguenay_Lac_Saint_Jean_Region_Quebec.html"
"1577491922-24812","https://www.tripadvisor.ca/Hotels-g153339-oa20-Canada-Hotels.html#LEAF_GEO_LIST","3","https://www.tripadvisor.ca/Hotels-g153339-oa40-Canada-Hotels.html#LEAF_GEO_LIST","#54Osoyoos Hotels(84)","https://www.tripadvisor.ca/Hotels-g181723-Osoyoos_Okanagan_Valley_British_Columbia-Hotels.html","2","https://www.tripadvisor.ca/Hotels-g181723-oa30-Osoyoos_Okanagan_Valley_British_Columbia-Hotels.html#BODYCON","Safari Beach Condo Resort","https://www.tripadvisor.ca/Hotel_Review-g181723-d1076171-Reviews-Safari_Beach_Condo_Resort-Osoyoos_Okanagan_Valley_British_Columbia.html"
"1577491944-24860","https://www.tripadvisor.ca/Hotels-g153339-oa20-Canada-Hotels.html#LEAF_GEO_LIST","3","https://www.tripadvisor.ca/Hotels-g153339-oa40-Canada-Hotels.html#LEAF_GEO_LIST","#52Prince George Hotels(59)","https://www.tripadvisor.ca/Hotels-g154938-Prince_George_British_Columbia-Hotels.html","2","https://www.tripadvisor.ca/Hotels-g154938-oa30-Prince_George_British_Columbia-Hotels.html#BODYCON","Sintich RV Park","https://www.tripadvisor.ca/Hotel_Review-g154938-d10489650-Reviews-Sintich_RV_Park-Prince_George_British_Columbia.html"
"1577491790-24526","https://www.tripadvisor.ca/Hotels-g153339-oa20-Canada-Hotels.html#LEAF_GEO_LIST","4","https://www.tripadvisor.ca/Hotels-g153339-oa60-Canada-Hotels.html#LEAF_GEO_LIST","#64Campbell River Hotels(57)","https://www.tripadvisor.ca/Hotels-g181792-Campbell_River_Vancouver_Island_British_Columbia-Hotels.html","2","https://www.tripadvisor.ca/Hotels-g181792-oa30-Campbell_River_Vancouver_Island_British_Columbia-Hotels.html#BODYCON","Cliffe House","https://www.tripadvisor.ca/Hotel_Review-g181792-d17414569-Reviews-Cliffe_House-Campbell_River_Vancouver_Island_British_Columbia.html"
"1577491913-24770","https://www.tripadvisor.ca/Hotels-g153339-oa20-Canada-Hotels.html#LEAF_GEO_LIST","3","https://www.tripadvisor.ca/Hotels-g153339-oa40-Canada-Hotels.html#LEAF_GEO_LIST","#55Saguenay Hotels(59)","https://www.tripadvisor.ca/Hotels-g1144652-Saguenay_Saguenay_Lac_Saint_Jean_Region_Quebec-Hotels.html","2","https://www.tripadvisor.ca/Hotels-g1144652-oa30-Saguenay_Saguenay_Lac_Saint_Jean_Region_Quebec-Hotels.html#BODYCON","Auberge L'Oasis","https://www.tripadvisor.ca/Hotel_Review-g667818-d1815523-Reviews-Auberge_L_Oasis-La_Baie_Saguenay_Saguenay_Lac_Saint_Jean_Region_Quebec.html"
"1577491425-23814","https://www.tripadvisor.ca/Hotels-g153339-oa20-Canada-Hotels.html#LEAF_GEO_LIST","5","https://www.tripadvisor.ca/Hotels-g153339-oa80-Canada-Hotels.html#LEAF_GEO_LIST","#89Levis Hotels(39)","https://www.tripadvisor.ca/Hotels-g182163-Levis_Chaudiere_Appalaches_Quebec-Hotels.html","2","https://www.tripadvisor.ca/Hotels-g182163-oa30-Levis_Chaudiere_Appalaches_Quebec-Hotels.html#BODYCON","Centre Sante-Nature","https://www.tripadvisor.ca/Hotel_Review-g182163-d6909503-Reviews-Centre_Sante_Nature-Levis_Chaudiere_Appalaches_Quebec.html"
"1577491062-23272","https://www.tripadvisor.ca/Hotels-g153339-oa20-Canada-Hotels.html#LEAF_GEO_LIST","6","https://www.tripadvisor.ca/Hotels-g153339-oa100-Canada-Hotels.html#LEAF_GEO_LIST","#115Riviere du Loup Hotels(31)","https://www.tripadvisor.ca/Hotels-g182149-Riviere_du_Loup_Bas_Saint_Laurent_Quebec-Hotels.html","2","https://www.tripadvisor.ca/Hotels-g182149-oa30-Riviere_du_Loup_Bas_Saint_Laurent_Quebec-Hotels.html#BODYCON","Motel d’Amour","https://www.tripadvisor.ca/Hotel_Review-g182149-d15065396-Reviews-Motel_d_Amour-Riviere_du_Loup_Bas_Saint_Laurent_Quebec.html"
"1577491745-24422","https://www.tripadvisor.ca/Hotels-g153339-oa20-Canada-Hotels.html#LEAF_GEO_LIST","4","https://www.tripadvisor.ca/Hotels-g153339-oa60-Canada-Hotels.html#LEAF_GEO_LIST","#67Rimouski Hotels(47)","https://www.tripadvisor.ca/Hotels-g182159-Rimouski_Bas_Saint_Laurent_Quebec-Hotels.html","2","https://www.tripadvisor.ca/Hotels-g182159-oa30-Rimouski_Bas_Saint_Laurent_Quebec-Hotels.html#BODYCON","Motel du Bic","https://www.tripadvisor.ca/Hotel_Review-g1201987-d8524781-Reviews-Motel_du_Bic-Le_Bic_Rimouski_Bas_Saint_Laurent_Quebec.html"
