reviewer,vote,hotel,city,nation
Antonio Sciscio,10.0,Park Hotel Sant'Elia,Fasano,Italia
 Adriorsa,6.0,Park Hotel Sant'Elia,Fasano,Italia
 Nunzio,10.0,Park Hotel Sant'Elia,Fasano,Italia
 961napoli,8.0,Park Hotel Sant'Elia,Fasano,Italia
 dinocs,8.0,Park Hotel Sant'Elia,Fasano,Italia
viajesmonicaquique,10.0,Fragolino Hostel,Via Bartolomeo Bono 25,Italia
 a92lopez,10.0,Fragolino Hostel,Via Bartolomeo Bono 25,Italia
 El_Diputado,10.0,Fragolino Hostel,Via Bartolomeo Bono 25,Italia
 zellchen,10.0,Fragolino Hostel,Via Bartolomeo Bono 25,Italia
 Oscar S,10.0,Fragolino Hostel,Via Bartolomeo Bono 25,Italia
Rosario M,10.0,Masseria Torre del Diamante,Fasano,Italia
 Rino F,8.0,Masseria Torre del Diamante,Fasano,Italia
 DavideArioli,10.0,Masseria Torre del Diamante,Fasano,Italia
 Serena C,10.0,Masseria Torre del Diamante,Fasano,Italia
 Riccado R,10.0,Masseria Torre del Diamante,Fasano,Italia
Rosaria P,6.0,Cuore di Pietra B&B,Vico Caverna 21,Italia
 Oasi18,2.0,Cuore di Pietra B&B,Vico Caverna 21,Italia
 SILVIO T,10.0,Cuore di Pietra B&B,Vico Caverna 21,Italia
 Il viaggiatore scrittore,8.0,Cuore di Pietra B&B,Vico Caverna 21,Italia
 Marina Z,10.0,Cuore di Pietra B&B,Vico Caverna 21,Italia
Roberto Massano,10.0,Masseria Carbonelli,Fasano,Italia
 Mikele D,10.0,Masseria Carbonelli,Fasano,Italia
 Innocenzo d,8.0,Masseria Carbonelli,Fasano,Italia
 Diane M,10.0,Masseria Carbonelli,Fasano,Italia
 maovit,8.0,Masseria Carbonelli,Fasano,Italia
Daniele S,10.0,Hotel Majestic,Cesenatico,Italia
 Mauro B,8.0,Hotel Majestic,Cesenatico,Italia
 Maria D,8.0,Hotel Majestic,Cesenatico,Italia
 Merolla,10.0,Hotel Majestic,Cesenatico,Italia
 Matteo Immesi,10.0,Hotel Majestic,Cesenatico,Italia
Silvia S,10.0,Residenza Cavour,Como,Italia
 Stefano B,10.0,Residenza Cavour,Como,Italia
 Ramon B,10.0,Residenza Cavour,Como,Italia
 giulia t,10.0,Residenza Cavour,Como,Italia
 Tiziana F,10.0,Residenza Cavour,Como,Italia
Erica A,10.0,Astanza,Castellabate,Italia
 olga r,2.0,Astanza,Castellabate,Italia
 giovanni c,10.0,Astanza,Castellabate,Italia
 nicoladst,8.0,Astanza,Castellabate,Italia
 Antonia P,10.0,Astanza,Castellabate,Italia
Margherita T,6.0,B&B Elle,Taranto,Italia
 Fulvio I,8.0,B&B Elle,Taranto,Italia
 Giovanni Nitti,6.0,B&B Elle,Taranto,Italia
 Simona B,4.0,B&B Elle,Taranto,Italia
 MissRoxy,10.0,B&B Elle,Taranto,Italia
